"ExptID","TankID","Mesocosm","TreatCode","UrchinDiam","AFDM","TotalGrazing","GrazingRate","MSRate"
"FLGR3","T5","L8","Cyc3",2.93,0.8,4.955202312,1.651734104,2.06466763
"FLGR3","T5","A4","Cyc3",3.12,0.82,3.882915531,1.294305177,1.578420948
"FLGR3","T5","K3","Cyc3",3.24,0.88,2.896227224,0.965409075,1.097055767
"FLGR3","T5","G1","Cyc3",3,0.81,3.62242446,1.20747482,1.490709654
"FLGR3","T5","A6","Cyc3",2.97,0.67,4.601329787,1.533776596,2.2892188
"FLGR3","T5","D2","Cyc3",2.97,0.8,2.506037613,0.835345871,1.044182339
"FLGR3","T5","H8","Cyc3",3.1,0.78,4.583837429,1.52794581,1.958904884
"FLGR3","T5","K5","Cyc3",2.96,0.74,6.618868267,2.206289422,2.981472192
"FLGR3","T6","D1","Cyc6",2.97,0.81,3.403553257,1.134517752,1.4006392
"FLGR3","T6","C4","Cyc6",3.08,0.97,2.124257627,0.708085876,0.729985439
"FLGR3","T6","E1","Cyc6",3.12,0.95,2.7898259,0.929941967,0.978886281
"FLGR3","T6","G8","Cyc6",2.98,0.83,3.390944681,1.130314894,1.361825173
"FLGR3","T6","A2","Cyc6",3.02,0.92,4.885264238,1.628421413,1.770023275
"FLGR3","T6","G3","Cyc6",3.13,0.79,5.45289493,1.817631643,2.300799549
"FLGR3","T6","D5","Cyc6",3.15,1.09,6.092479339,2.030826446,1.863143529
"FLGR3","T6","J2","Cyc6",2.9,0.75,2.676411908,0.892137303,1.189516404
"FLGR3","T7","I3","Constant",3.08,0.78,3.113343445,1.037781148,1.330488652
"FLGR3","T7","J8","Constant",3.16,0.86,2.92825895,0.976086317,1.134984089
"FLGR3","T7","E5","Constant",2.92,0.68,2.358084492,0.786028164,1.155923771
"FLGR3","T7","G6","Constant",2.86,0.72,3.809597315,1.269865772,1.763702461
"FLGR3","T7","J4","Constant",3.25,0.97,0.338470874,0.112823625,0.116313015
"FLGR3","T7","E8","Constant",2.97,0.68,2.249675421,0.749891807,1.102782069
"FLGR3","T7","D4","Constant",2.9,0.74,2.676919924,0.892306641,1.205819786
"FLGR3","T7","H7","Constant",3.09,0.67,3.035631313,1.011877104,1.510264335
"FLGR3","T8","A3","Ambient",3.11,0.96,7.69788601,2.565962003,2.672877087
"FLGR3","T8","E3","Ambient",3,0.73,5.746842875,1.915614292,2.624129167
"FLGR3","T8","K2","Ambient",2.96,0.78,4.67532593,1.558441977,1.998002534
"FLGR3","T8","G7","Ambient",2.98,0.77,4.142241082,1.380747027,1.793177958
"FLGR3","T8","F6","Ambient",3.05,0.82,2.096099132,0.698699711,0.852072818
"FLGR3","T8","E4","Ambient",3.19,1.11,4.94423787,1.64807929,1.484756117
"FLGR3","T8","G2","Ambient",3.05,0.8,7.841928343,2.613976114,3.267470143
"FLGR3","T8","F2","Ambient",2.92,0.88,6.367453505,2.122484502,2.411914206
"FLGR4","T5","A2","Cyc3",2.97,0.68,1.060376838,0.353458946,0.519792568
"FLGR4","T5","J2","Cyc3",3.16,0.78,2.407861557,0.802620519,1.029000666
"FLGR4","T5","D2","Cyc3",2.93,0.87,3.452772753,1.150924251,1.322901438
"FLGR4","T5","G7","Cyc3",3.27,1.01,4.524589097,1.508196366,1.493263728
"FLGR4","T5","F2","Cyc3",2.96,0.82,2.893102201,0.9643674,1.176057805
"FLGR4","T5","K5","Cyc3",2.96,0.8,2.73171386,0.910571287,1.138214108
"FLGR4","T5","G6","Cyc3",3.38,1.2,4.936904762,1.645634921,1.371362434
"FLGR4","T5","J4","Cyc3",3,0.9,0.943368421,0.31445614,0.349395712
"FLGR4","T6","G3","Cyc6",2.94,0.66,1.23669376,0.412231253,0.624592808
"FLGR4","T6","G1","Cyc6",3.14,0.95,4.035157129,1.345052376,1.415844607
"FLGR4","T6","E3","Cyc6",3,0.81,4.203608787,1.401202929,1.729880159
"FLGR4","T6","K2","Cyc6",3.14,0.78,3.534291845,1.178097282,1.510381131
"FLGR4","T6","G2","Cyc6",2.97,0.99,2.813086779,0.937695593,0.947167266
"FLGR4","T6","A6","Cyc6",3.2,0.93,3.413273728,1.137757909,1.223395601
"FLGR4","T6","I3","Cyc6",2.95,0.81,4.254925373,1.418308458,1.750998096
"FLGR4","T6","G8","Cyc6",3.08,0.98,4.110148721,1.370049574,1.398009769
"FLGR4","T7","D5","Constant",2.97,0.89,4.324673213,1.441557738,1.619727795
"FLGR4","T7","H3","Constant",3.35,0.89,1.787406948,0.595802316,0.669440804
"FLGR4","T7","C4","Constant",2.94,0.77,-0.030408163,-0.010136054,-0.013163707
"FLGR4","T7","H7","Constant",3,0.69,2.744613527,0.914871176,1.325900254
"FLGR4","T7","D4","Constant",3.21,0.81,-0.470721649,-0.156907216,-0.193712613
"FLGR4","T7","A4","Constant",2.92,0.64,-0.13007837,-0.043359457,-0.067749151
"FLGR4","T7","E8","Constant",2.93,0.83,3.932037133,1.310679044,1.579131379
"FLGR4","T7","J8","Constant",3.03,0.76,1.712773179,0.570924393,0.751216306
"FLGR4","T8","D1","Ambient",2.96,0.79,1.136250389,0.37875013,0.479430544
"FLGR4","T8","F6","Ambient",3.47,1.06,1.872902265,0.624300755,0.588962976
"FLGR4","T8","A3","Ambient",3.16,0.88,4.098336536,1.366112179,1.552400203
"FLGR4","T8","E4","Ambient",2.89,0.71,2.788105788,0.929368596,1.308969853
"FLGR4","T8","E5","Ambient",3,0.96,5.034455829,1.678151943,1.748074941
"FLGR4","T8","L8","Ambient",2.94,0.71,1.872618904,0.624206301,0.879163805
"FLGR4","T8","K3","Ambient",3.05,0.83,2.680617103,0.893539034,1.076553053
"FLGR4","T8","E1","Ambient",3,0.68,2.68434462,0.89478154,1.315855206
