"TankID","TreatCode","UrchinID","Diam.initial","Diam.endpt","DiamChange.endpt"
"1","Ambient","T1-C1a",3.75,3.77,0.00533333333333334
"1","Ambient","T1-C1b",3.9,4.05,0.0384615384615384
"1","Ambient","T1-C2a",3.75,3.82,0.0186666666666666
"1","Ambient","T1-C2b",3.8,4.13,0.0868421052631579
"1","Ambient","T1-C3a",3.8,3.75,-0.0131578947368421
"1","Ambient","T1-C3b",4.2,4.19,-0.00238095238095233
"1","Ambient","T1-C4a",3.95,3.94,-0.00253164556962031
"1","Ambient","T1-C4b",3.65,3.66,0.00273972602739732
"1","Ambient","T1-C5a",4.2,4.27,0.0166666666666665
"1","Ambient","T1-C5b",3.95,3.95,0
"1","Ambient","T1-C6a",4.2,4.18,-0.00476190476190487
"1","Ambient","T1-C6b",3.95,4,0.0126582278481012
"2","Cyc3","T2-C1a",3.65,3.84,0.0520547945205479
"2","Cyc3","T2-C1b",4.15,4.23,0.019277108433735
"2","Cyc3","T2-C2a",3.8,4.05,0.0657894736842105
"2","Cyc3","T2-C2b",4,4.17,0.0425
"2","Cyc3","T2-C3a",3.8,3.99,0.0500000000000001
"2","Cyc3","T2-C3b",4.1,4.16,0.0146341463414635
"2","Cyc3","T2-C4a",4.1,4.06,-0.00975609756097562
"2","Cyc3","T2-C4b",3.75,3.87,0.032
"2","Cyc3","T2-C5a",3.8,3.83,0.00789473684210533
"2","Cyc3","T2-C5b",4.05,4.06,0.00246913580246908
"2","Cyc3","T2-C6a",4.05,4.08,0.00740740740740747
"2","Cyc3","T2-C6b",3.7,3.87,0.0459459459459459
"3","Constant","T3-C1a",4.25,4.31,0.0141176470588234
"3","Constant","T3-C1b",4.2,4.32,0.0285714285714286
"3","Constant","T3-C2a",3.8,3.91,0.0289473684210527
"3","Constant","T3-C2b",4,4.12,0.03
"3","Constant","T3-C3a",4.25,4.35,0.0235294117647058
"3","Constant","T3-C3b",3.75,3.72,-0.00799999999999995
"3","Constant","T3-C4a",3.95,4.06,0.0278481012658226
"3","Constant","T3-C4b",3.8,3.77,-0.00789473684210521
"3","Constant","T3-C5a",3.95,4.04,0.0227848101265822
"3","Constant","T3-C5b",4.05,4.05,0
"3","Constant","T3-C6a",4,4.04,0.01
"3","Constant","T3-C6b",3.9,4.19,0.0743589743589745
"4","Cyc6","T4-C1a",4.05,4.03,-0.00493827160493817
"4","Cyc6","T4-C1b",3.8,3.75,-0.0131578947368421
"4","Cyc6","T4-C2a",3.7,3.84,0.0378378378378377
"4","Cyc6","T4-C2b",4.15,4,-0.0361445783132531
"4","Cyc6","T4-C3a",4.3,4.54,0.0558139534883721
"4","Cyc6","T4-C3b",4.25,4.39,0.0329411764705882
"4","Cyc6","T4-C4a",3.85,3.93,0.0207792207792208
"4","Cyc6","T4-C4b",3.95,4.12,0.0430379746835443
"4","Cyc6","T4-C5a",3.8,3.96,0.0421052631578948
"4","Cyc6","T4-C5b",3.85,4.07,0.0571428571428572
"4","Cyc6","T4-C6a",3.65,3.75,0.0273972602739726
"4","Cyc6","T4-C6b",4.05,4.25,0.0493827160493828
"9","Ambient","T5-C1a",3.95,3.95,0
"9","Ambient","T5-C1b",4.3,4.45,0.0348837209302326
"9","Ambient","T5-C2a",3.95,4.07,0.0303797468354431
"9","Ambient","T5-C2b",3.65,3.74,0.0246575342465754
"9","Ambient","T5-C3a",4.05,4,-0.0123456790123456
"9","Ambient","T5-C3b",4.15,4.25,0.0240963855421686
"9","Ambient","T5-C4a",3.75,3.84,0.024
"9","Ambient","T5-C4b",3.95,4.12,0.0430379746835443
"9","Ambient","T5-C5a",3.65,3.73,0.0219178082191781
"9","Ambient","T5-C5b",3.65,3.57,-0.0219178082191781
"9","Ambient","T5-C6a",4.25,4.35,0.0235294117647058
"9","Ambient","T5-C6b",3.8,4.03,0.0605263157894738
"10","Cyc3","T6-C1a",3.65,3.87,0.0602739726027398
"10","Cyc3","T6-C1b",3.95,3.99,0.010126582278481
"10","Cyc3","T6-C2a",3.95,4.02,0.0177215189873416
"10","Cyc3","T6-C2b",3.65,3.56,-0.0246575342465753
"10","Cyc3","T6-C3a",3.75,4.02,0.0719999999999999
"10","Cyc3","T6-C3b",4.2,4.36,0.0380952380952381
"10","Cyc3","T6-C4a",4.3,4.34,0.00930232558139536
"10","Cyc3","T6-C4b",3.95,3.96,0.0025316455696202
"10","Cyc3","T6-C5a",3.75,3.85,0.0266666666666667
"10","Cyc3","T6-C5b",4,4.2,0.05
"10","Cyc3","T6-C6a",3.95,4.12,0.0430379746835443
"10","Cyc3","T6-C6b",3.7,4.05,0.0945945945945945
"11","Constant","T7-C1a",4.15,4.18,0.00722891566265045
"11","Constant","T7-C1b",3.65,3.9,0.0684931506849315
"11","Constant","T7-C2a",3.7,3.93,0.0621621621621622
"11","Constant","T7-C2b",3.85,3.79,-0.0155844155844156
"11","Constant","T7-C3a",3.65,3.82,0.0465753424657534
"11","Constant","T7-C3b",3.95,4.05,0.0253164556962024
"11","Constant","T7-C4a",4.15,4.3,0.0361445783132529
"11","Constant","T7-C4b",3.65,3.77,0.0328767123287672
"11","Constant","T7-C5a",3.75,3.75,0
"11","Constant","T7-C5b",3.6,3.76,0.0444444444444444
"11","Constant","T7-C6a",4.1,4.27,0.0414634146341463
"11","Constant","T7-C6b",3.8,3.96,0.0421052631578948
"12","Cyc6","T8-C1a",4.05,4.18,0.0320987654320987
"12","Cyc6","T8-C1b",3.8,3.85,0.0131578947368422
"12","Cyc6","T8-C2a",3.65,3.6,-0.0136986301369863
"12","Cyc6","T8-C2b",3.85,3.92,0.0181818181818181
"12","Cyc6","T8-C3a",4.3,4.37,0.0162790697674419
"12","Cyc6","T8-C3b",3.7,3.99,0.0783783783783784
"12","Cyc6","T8-C4a",3.85,3.92,0.0181818181818181
"12","Cyc6","T8-C4b",4.05,4.22,0.0419753086419753
"12","Cyc6","T8-C5a",3.9,3.94,0.0102564102564103
"12","Cyc6","T8-C5b",4.15,4.3,0.0361445783132529
"12","Cyc6","T8-C6a",4.2,4.3,0.0238095238095237
"12","Cyc6","T8-C6b",3.65,3.84,0.0520547945205479
